DateTime,Day,Weekday,Hour,Rented Bike Count,Temperature(°C),Humidity(%),Wind speed (m/s),Visibility (10m),Dew point temperature(°C),Solar Radiation (MJ/m2),Rainfall(mm),Snowfall (cm)
2017-04-12 18:00:00,12,4,18,807,"-2,1",29,"3,9",2000,"-17,7",0,0,0
2017-04-12 19:00:00,12,4,19,568,"-2,9",32,"3,2",2000,"-17,3",0,0,0
2017-04-12 20:00:00,12,4,20,398,"-3,6",38,3,2000,"-15,8",0,0,0
2017-04-12 21:00:00,12,4,21,397,"-4,6",43,"4,5",2000,"-15,3",0,0,0
2017-04-12 22:00:00,12,4,22,353,"-5,3",45,"2,5",2000,"-15,3",0,0,0
2017-04-12 23:00:00,12,4,23,248,"-5,8",44,"2,4",2000,"-16,1",0,0,0
2017-05-12 00:00:00,12,6,0,216,"-6,1",42,"2,6",2000,"-16,9",0,0,0
2017-05-12 01:00:00,12,6,1,198,"-6,5",41,"2,8",2000,"-17,6",0,0,0
2017-05-12 02:00:00,12,6,2,124,"-6,8",41,"2,5",2000,"-17,8",0,0,0
2017-05-12 03:00:00,12,6,3,62,"-6,9",39,2,2000,"-18,5",0,0,0
2017-05-12 04:00:00,12,6,4,42,"-7,2",34,3,2000,"-20,4",0,0,0
2017-05-12 05:00:00,12,6,5,82,"-7,4",33,"2,6",2000,"-20,9",0,0,0
2017-05-12 06:00:00,12,6,6,172,"-7,4",34,"3,2",2000,"-20,6",0,0,0
2017-05-12 07:00:00,12,6,7,381,"-7,5",33,"2,2",2000,-21,0,0,0
2017-05-12 08:00:00,12,6,8,812,"-8,1",36,"1,6",2000,"-20,5","0,01",0,0
2017-05-12 09:00:00,12,6,9,462,"-7,6",31,"1,3",1974,"-21,8","0,21",0,0
2017-05-12 10:00:00,12,6,10,269,"-5,5",26,"2,8",1967,-22,"0,64",0,0
2017-05-12 11:00:00,12,6,11,334,"-3,9",25,0,1959,-21,0,0,0
2017-05-12 12:00:00,12,6,12,321,"-2,3",25,0,1962,"-19,7",0,0,0
2017-05-12 13:00:00,12,6,13,325,"-1,6",27,0,1955,"-18,2",0,0,0
2017-05-12 14:00:00,12,6,14,334,"-1,1",28,0,2000,"-17,3",0,0,0
2017-05-12 15:00:00,12,6,15,353,"-0,7",28,0,2000,"-16,9",0,0,0
2017-05-12 16:00:00,12,6,16,435,"-0,5",30,0,2000,-16,0,0,0
2017-05-12 17:00:00,12,6,17,529,"-1,6",35,0,2000,"-15,1",0,0,0
2017-05-12 18:00:00,12,6,18,789,"-2,6",40,0,2000,"-14,4",0,0,0
2017-05-12 19:00:00,12,6,19,597,"-3,2",45,0,2000,"-13,5",0,0,0
2017-05-12 20:00:00,12,6,20,418,"-3,5",46,0,2000,"-13,4",0,0,0
2017-05-12 21:00:00,12,6,21,415,"-3,7",47,0,2000,"-13,3",0,0,0
2017-05-12 22:00:00,12,6,22,393,"-2,8",49,0,2000,-12,0,0,0
2017-05-12 23:00:00,12,6,23,244,"-2,5",59,0,1210,"-9,4",0,0,0
2017-06-12 00:00:00,12,2,0,145,"-2,8",77,0,331,"-6,2",0,"0,1","0,1"
2017-06-12 01:00:00,12,2,1,144,-3,79,0,293,"-6,1",0,0,"0,3"
2017-06-12 02:00:00,12,2,2,117,-3,79,0,1862,"-6,1",0,0,"0,4"
2017-06-12 03:00:00,12,2,3,78,"-3,2",78,0,1808,"-6,4",0,"0,2","0,4"
2017-06-12 04:00:00,12,2,4,58,"-3,4",75,0,1982,"-7,2",0,0,"0,4"
2017-06-12 05:00:00,12,2,5,87,"-3,6",76,0,1934,"-7,2",0,0,"0,4"
2017-06-12 06:00:00,12,2,6,142,"-3,7",76,0,1864,"-7,3",0,0,"0,4"
2017-06-12 07:00:00,12,2,7,379,"-4,2",77,0,1741,"-7,6",0,0,"0,3"
2017-06-12 08:00:00,12,2,8,802,"-4,2",78,0,1518,"-7,4","0,01",0,"0,2"
2017-06-12 09:00:00,12,2,9,440,"-3,3",70,0,1324,"-7,9","0,25",0,"0,2"
2017-06-12 10:00:00,12,2,10,307,"-0,9",64,0,1224,"-6,8","0,63",0,"0,2"
2017-06-12 11:00:00,12,2,11,381,"1,6",57,"1,2",1261,-6,"0,93",0,0
2017-06-12 12:00:00,12,2,12,405,"2,4",52,"0,9",1224,"-6,4","1,08",0,0
2017-06-12 13:00:00,12,2,13,442,"4,2",47,"1,1",1469,"-6,1","1,1",0,0
2017-06-12 14:00:00,12,2,14,416,"5,5",34,1,1966,"-9,1","0,96",0,0
2017-06-12 15:00:00,12,2,15,412,"5,5",31,"3,1",1968,"-10,3","0,72",0,0
2017-06-12 16:00:00,12,2,16,496,"5,3",37,"2,9",2000,"-8,2","0,36",0,0
2017-06-12 17:00:00,12,2,17,239,"4,1",60,"2,5",1565,"-2,9","0,1",0,0
2017-06-12 18:00:00,12,2,18,204,"1,7",90,1,66,"0,2",0,"0,3","0,3"
2017-06-12 19:00:00,12,2,19,205,"1,2",92,"0,7",180,0,0,0,1
2017-06-12 20:00:00,12,2,20,190,"1,2",94,"0,6",228,"0,3",0,0,1
2017-06-12 21:00:00,12,2,21,165,"1,1",92,"0,5",235,0,0,"0,7",1
2017-06-12 22:00:00,12,2,22,222,"1,3",92,"0,6",233,"0,1",0,0,1
2017-06-12 23:00:00,12,2,23,193,"1,3",92,"0,6",209,"0,1",0,0,1
2017-07-12 00:00:00,12,4,0,198,"1,4",92,"0,5",240,"0,2",0,0,"0,9"
2017-07-12 01:00:00,12,4,1,218,"1,5",92,"0,4",227,"0,3",0,0,"0,9"
2017-07-12 02:00:00,12,4,2,149,"1,4",92,"0,7",168,"0,2",0,0,"0,9"
2017-07-12 03:00:00,12,4,3,102,"1,9",91,"1,4",218,"0,5",0,0,"0,9"
2017-07-12 04:00:00,12,4,4,62,"1,6",92,"0,7",119,"0,4",0,0,"0,9"
2017-07-12 05:00:00,12,4,5,83,"1,5",92,"1,1",175,"0,3",0,0,"0,9"
2017-07-12 06:00:00,12,4,6,137,1,93,"0,5",148,0,0,0,"0,9"
2017-07-12 07:00:00,12,4,7,367,"0,3",93,"0,5",173,"-0,7",0,0,"0,9"
2017-07-12 08:00:00,12,4,8,754,"-0,2",96,"0,8",173,"-0,7","0,01",0,"0,8"
2017-07-12 09:00:00,12,4,9,415,"0,1",91,"0,8",265,"-1,1","0,14",0,"0,8"
2017-07-12 10:00:00,12,4,10,321,"1,1",83,"0,7",311,"-1,4","0,41",0,"0,7"
2017-07-12 11:00:00,12,4,11,333,"2,3",69,"1,7",628,"-2,8","0,63",0,"0,6"
2017-07-12 12:00:00,12,4,12,431,"3,7",65,"2,4",833,"-2,2","0,98",0,"0,3"
2017-07-12 13:00:00,12,4,13,394,"4,1",37,"3,1",1767,"-9,3","1,14",0,0
2017-07-12 14:00:00,12,4,14,390,"4,4",36,"2,7",1975,"-9,4","1,04",0,0
2017-07-12 15:00:00,12,4,15,430,4,35,"3,1",1962,"-10,1","0,84",0,0
2017-07-12 16:00:00,12,4,16,471,"3,2",38,"2,9",1817,"-9,7","0,51",0,0
2017-07-12 17:00:00,12,4,17,552,"2,1",50,2,1434,"-7,2","0,15",0,0
2017-07-12 18:00:00,12,4,18,795,"0,7",46,"2,7",1558,"-9,6",0,0,0
2017-07-12 19:00:00,12,4,19,507,"-0,4",47,"2,5",1269,"-10,3",0,0,0
2017-07-12 20:00:00,12,4,20,390,"-1,4",47,"2,5",1620,"-11,2",0,0,0
2017-07-12 21:00:00,12,4,21,402,"-2,2",46,"2,2",1975,"-12,2",0,0,0
2017-07-12 22:00:00,12,4,22,389,"-2,7",48,"2,6",1844,"-12,2",0,0,0
2017-07-12 23:00:00,12,4,23,259,"-3,2",50,"2,1",1887,"-12,1",0,0,0
2017-08-12 00:00:00,12,7,0,233,"-3,5",49,"2,6",1893,"-12,6",0,0,0
2017-08-12 01:00:00,12,7,1,230,"-3,7",50,"2,5",1902,"-12,6",0,0,0
2017-08-12 02:00:00,12,7,2,131,"-4,3",53,1,1918,"-12,4",0,0,0
2017-08-12 03:00:00,12,7,3,99,"-4,8",52,"1,6",1978,"-13,1",0,0,0
2017-08-12 04:00:00,12,7,4,71,"-5,3",53,"2,4",1936,"-13,4",0,0,0
2017-08-12 05:00:00,12,7,5,84,"-5,8",56,2,1941,"-13,1",0,0,0
2017-08-12 06:00:00,12,7,6,158,-6,56,"3,5",1853,"-13,3",0,0,0
2017-08-12 07:00:00,12,7,7,387,"-6,5",57,"0,8",1776,"-13,6",0,0,0
2017-08-12 08:00:00,12,7,8,780,-7,59,"0,8",1559,"-13,6","0,01",0,0
2017-08-12 09:00:00,12,7,9,395,"-6,7",50,"0,9",1492,"-15,4","0,23",0,0
2017-08-12 10:00:00,12,7,10,261,"-5,3",44,"2,8",1516,"-15,6","0,63",0,0
2017-08-12 11:00:00,12,7,11,310,"-3,7",39,"1,4",1595,"-15,6","0,93",0,0
2017-08-12 12:00:00,12,7,12,355,-2,30,"1,4",1728,"-17,3","1,14",0,0
2017-08-12 13:00:00,12,7,13,354,"-1,7",28,"1,8",1963,"-17,8","1,22",0,0
2017-08-12 14:00:00,12,7,14,350,"-1,3",27,"3,1",1906,"-17,9","1,12",0,0
2017-08-12 15:00:00,12,7,15,362,"-0,8",26,"3,3",1977,"-17,9","0,87",0,0
2017-08-12 16:00:00,12,7,16,401,"-1,1",24,"3,4",2000,"-19,1","0,56",0,0
2017-08-12 17:00:00,12,7,17,500,"-2,4",30,"2,7",2000,"-17,6","0,18",0,0
2017-08-12 18:00:00,12,7,18,752,"-3,1",33,"1,2",2000,"-17,1",0,0,0
2017-08-12 19:00:00,12,7,19,477,"-3,3",35,"1,1",2000,"-16,6",0,0,0
2017-08-12 20:00:00,12,7,20,384,"-3,3",34,"1,5",2000,"-16,9",0,0,0
2017-08-12 21:00:00,12,7,21,336,"-3,3",35,"0,5",2000,"-16,6",0,0,0
2017-08-12 22:00:00,12,7,22,347,"-3,4",39,"1,2",2000,"-15,4",0,0,0
2017-08-12 23:00:00,12,7,23,275,"-3,5",43,"0,9",2000,"-14,3",0,0,0
2017-09-12 00:00:00,12,3,0,267,"-3,5",48,"0,9",1967,"-12,9",0,0,0
2017-09-12 01:00:00,12,3,1,296,"-4,1",49,"0,6",2000,"-13,2",0,0,0
2017-09-12 02:00:00,12,3,2,237,"-4,7",50,"0,7",1983,"-13,5",0,0,0
2017-09-12 03:00:00,12,3,3,169,"-4,3",47,"0,6",1992,"-13,9",0,0,0
2017-09-12 04:00:00,12,3,4,96,"-4,3",49,"0,7",2000,"-13,4",0,0,0
2017-09-12 05:00:00,12,3,5,56,"-4,7",49,"0,8",1999,"-13,8",0,0,0
2017-09-12 06:00:00,12,3,6,76,"-5,1",53,"0,9",1975,"-13,2",0,0,0
2017-09-12 07:00:00,12,3,7,127,"-5,5",56,"0,8",1950,"-12,9",0,0,0
2017-09-12 08:00:00,12,3,8,222,"-5,4",56,"0,7",1940,"-12,8","0,01",0,0
2017-09-12 09:00:00,12,3,9,291,"-4,7",48,1,1784,-14,"0,23",0,0
2017-09-12 10:00:00,12,3,10,273,"-2,2",42,"1,3",1646,"-13,4","0,61",0,0
2017-09-12 11:00:00,12,3,11,351,0,45,"1,1",1500,"-10,5","0,89",0,0
2017-09-12 12:00:00,12,3,12,427,"2,4",40,"0,8",1809,"-9,8","1,05",0,0
2017-09-12 13:00:00,12,3,13,431,"3,9",36,2,1702,"-9,8","1,13",0,0
2017-09-12 14:00:00,12,3,14,486,"4,7",32,"2,2",1948,"-10,6","1,06",0,0
2017-09-12 15:00:00,12,3,15,569,"5,2",30,2,1963,-11,"0,84",0,0
2017-09-12 16:00:00,12,3,16,546,"4,4",33,"1,6",1963,"-10,5","0,4",0,0
2017-09-12 17:00:00,12,3,17,481,"3,5",37,"1,8",1963,"-9,8","0,1",0,0
2017-09-12 18:00:00,12,3,18,384,"2,5",41,1,1974,"-9,4",0,0,0
2017-09-12 19:00:00,12,3,19,275,"1,5",48,"0,4",1878,"-8,3",0,0,0
2017-09-12 20:00:00,12,3,20,298,"0,8",51,"1,4",1848,"-8,2",0,0,0
2017-09-12 21:00:00,12,3,21,321,"-0,1",55,"0,7",1654,-8,0,0,0
2017-09-12 22:00:00,12,3,22,289,"-0,5",55,"0,6",1655,"-8,4",0,0,0
2017-09-12 23:00:00,12,3,23,265,"-0,1",54,"1,3",1570,"-8,3",0,0,0
2017-10-12 00:00:00,12,5,0,326,"-0,2",55,1,1629,"-8,1",0,0,0
2017-10-12 01:00:00,12,5,1,280,"-0,2",54,"0,5",1747,"-8,4",0,0,0
2017-10-12 02:00:00,12,5,2,243,"0,2",52,"0,7",1726,"-8,5",0,0,0
2017-10-12 03:00:00,12,5,3,169,"0,3",53,"0,5",1748,"-8,1",0,0,0
2017-10-12 04:00:00,12,5,4,71,"0,4",52,"1,6",1816,"-8,3",0,0,0
2017-10-12 05:00:00,12,5,5,13,"0,3",74,1,178,"-3,7",0,0,"0,7"
2017-10-12 06:00:00,12,5,6,9,"-0,5",90,"0,9",91,"-1,9",0,"2,5","2,7"
2017-10-12 07:00:00,12,5,7,20,"-0,4",92,"1,1",121,"-1,5",0,0,4
2017-10-12 08:00:00,12,5,8,35,"-0,2",90,"1,2",378,"-1,6",0,0,"4,1"
2017-10-12 09:00:00,12,5,9,31,"0,2",90,1,305,"-1,2",0,"1,6","4,3"
2017-10-12 10:00:00,12,5,10,19,"0,5",91,"0,4",143,"-0,8",0,0,"4,3"
2017-10-12 11:00:00,12,5,11,58,"0,9",92,"0,9",137,"-0,2","0,03",0,"3,9"
2017-10-12 12:00:00,12,5,12,119,"2,3",88,"0,3",245,"0,5","0,28",0,"3,1"
2017-10-12 13:00:00,12,5,13,182,"3,3",87,"1,1",230,"1,3","0,54",0,"2,1"
2017-10-12 14:00:00,12,5,14,235,"4,2",85,"0,7",325,"1,8","0,65",0,"1,4"
2017-10-12 15:00:00,12,5,15,180,"6,7",63,"4,5",715,"0,1","0,35",0,1
2017-10-12 16:00:00,12,5,16,214,"5,4",71,"3,5",622,"0,5","0,2",0,"0,5"
2017-10-12 17:00:00,12,5,17,226,"3,6",65,"4,3",1061,"-2,3","0,03",0,"0,4"
2017-10-12 18:00:00,12,5,18,210,2,61,3,2000,"-4,7",0,0,0
2017-10-12 19:00:00,12,5,19,181,"1,6",53,4,2000,"-6,9",0,0,0
2017-10-12 20:00:00,12,5,20,165,"0,6",57,"3,9",1954,"-6,9",0,0,0
2017-10-12 21:00:00,12,5,21,167,0,59,3,1862,-7,0,0,0
2017-10-12 22:00:00,12,5,22,152,-1,56,"4,7",2000,"-8,6",0,0,0
2017-10-12 23:00:00,12,5,23,148,"-1,4",43,"4,3",2000,"-12,3",0,0,0
2017-11-12 00:00:00,12,1,0,125,"-2,5",39,"3,4",2000,"-14,5",0,0,0
2017-11-12 01:00:00,12,1,1,111,"-3,4",36,"3,8",2000,"-16,3",0,0,0
2017-11-12 02:00:00,12,1,2,67,"-4,2",35,"3,4",2000,"-17,4",0,0,0
2017-11-12 03:00:00,12,1,3,45,"-4,7",38,"2,4",2000,"-16,8",0,0,0
2017-11-12 04:00:00,12,1,4,44,"-5,2",35,"3,2",2000,"-18,3",0,0,0
2017-11-12 05:00:00,12,1,5,86,"-5,6",38,"3,2",1974,"-17,6",0,0,0
2017-11-12 06:00:00,12,1,6,136,"-5,9",39,"2,9",1979,"-17,6",0,0,0
2017-11-12 07:00:00,12,1,7,325,-6,39,"3,1",1996,"-17,7",0,0,0
2017-11-12 08:00:00,12,1,8,653,-6,38,"3,6",1994,-18,"0,01",0,0
2017-11-12 09:00:00,12,1,9,326,"-5,9",36,"5,1",1941,"-18,6","0,1",0,0
2017-11-12 10:00:00,12,1,10,212,"-5,3",32,"4,5",2000,"-19,4","0,62",0,0
2017-11-12 11:00:00,12,1,11,226,"-4,7",36,"3,8",2000,"-17,5",1,0,0
2017-11-12 12:00:00,12,1,12,247,"-5,2",33,"4,6",1973,-19,"1,26",0,0
2017-11-12 13:00:00,12,1,13,241,"-5,4",32,"5,1",1986,"-19,5","1,24",0,0
2017-11-12 14:00:00,12,1,14,253,"-5,4",31,"4,1",1945,"-19,9","1,13",0,0
2017-11-12 15:00:00,12,1,15,269,"-5,5",33,"4,5",2000,"-19,2","0,92",0,0
2017-11-12 16:00:00,12,1,16,277,-6,40,4,2000,"-17,4","0,55",0,0
2017-11-12 17:00:00,12,1,17,361,"-7,1",44,"4,2",2000,"-17,3","0,18",0,0
2017-11-12 18:00:00,12,1,18,557,"-7,9",43,"3,3",2000,"-18,3",0,0,0
2017-11-12 19:00:00,12,1,19,371,"-8,6",45,"3,9",2000,"-18,4",0,0,0
2017-11-12 20:00:00,12,1,20,254,"-9,3",49,"3,8",2000,-18,0,0,0
2017-11-12 21:00:00,12,1,21,266,"-9,7",51,"2,5",2000,"-17,9",0,0,0
2017-11-12 22:00:00,12,1,22,222,"-10,2",50,3,2000,"-18,6",0,0,0
2017-11-12 23:00:00,12,1,23,174,"-10,7",53,"1,2",2000,"-18,4",0,0,0
2017-12-12 00:00:00,12,3,0,133,-11,51,"1,1",2000,"-19,1",0,0,0
2017-12-12 01:00:00,12,3,1,127,"-11,2",51,"1,1",2000,"-19,3",0,0,0
2017-12-12 02:00:00,12,3,2,95,"-11,5",50,"0,7",2000,"-19,8",0,0,0
2017-12-12 03:00:00,12,3,3,54,"-11,6",50,"2,2",1995,"-19,9",0,0,0
2017-12-12 04:00:00,12,3,4,46,"-11,6",47,"2,1",1982,"-20,6",0,0,0
2017-12-12 05:00:00,12,3,5,65,"-11,6",45,"2,8",1951,"-21,1",0,0,0
2017-12-12 06:00:00,12,3,6,104,"-11,8",47,"2,5",1973,"-20,8",0,0,0
2017-12-12 07:00:00,12,3,7,280,"-12,1",50,"2,3",1929,"-20,4",0,0,0
2017-12-12 08:00:00,12,3,8,580,"-12,3",52,"1,3",1914,"-20,1",0,0,0
2017-12-12 09:00:00,12,3,9,275,"-11,8",46,"2,9",1956,"-21,1","0,1",0,0
2017-12-12 10:00:00,12,3,10,184,"-10,5",45,"3,3",1855,"-20,1","0,6",0,0
2017-12-12 11:00:00,12,3,11,201,"-9,4",42,"3,1",1815,"-19,9","0,93",0,0
2017-12-12 12:00:00,12,3,12,228,"-8,3",35,"2,9",1967,-21,"1,14",0,0
2017-12-12 13:00:00,12,3,13,225,"-6,9",37,"2,4",1955,"-19,1","1,22",0,0
2017-12-12 14:00:00,12,3,14,258,"-5,4",32,2,1930,"-19,5","1,12",0,0
2017-12-12 15:00:00,12,3,15,250,"-5,8",30,"2,8",2000,"-20,6","0,92",0,0
2017-12-12 16:00:00,12,3,16,248,-6,29,"2,8",1983,"-21,2","0,58",0,0
2017-12-12 17:00:00,12,3,17,305,-7,32,"2,6",2000,"-20,9","0,19",0,0
2017-12-12 18:00:00,12,3,18,529,"-7,7",36,1,2000,"-20,2",0,0,0
2017-12-12 19:00:00,12,3,19,350,"-8,2",43,"1,1",2000,"-18,5",0,0,0
